codigo_manzana,prom_edad,desv_edad,min_edad,max_edad,educacion_mas_alta,estrato,porcentaje_internet,porcentaje_luz
5000110000000002010125,37.6,22.1,2.0,92.0,3.0,1.1,0.05,0.95
5000110000000002010126,35.8,24.6,2.0,77.0,2.0,1.0,0.14,1.0
5000110000000002010128,53.3,18.3,22.0,77.0,2.0,1.0,0.2,0.8
5000110000000002010301,37.2,22.0,2.0,87.0,4.0,2.1,0.38,0.76
5000110000000002010306,46.0,23.3,12.0,87.0,5.0,2.6,0.33,0.67
5000110000000002010307,46.5,19.4,7.0,77.0,6.0,3.0,0.29,0.33
5000110000000002010308,39.9,22.4,2.0,77.0,4.0,2.7,0.23,0.5
5000110000000002010311,37.5,22.2,7.0,67.0,5.0,2.5,0.82,1.0
5000110000000002010314,34.0,20.0,2.0,77.0,5.0,2.3,0.39,0.68
5000110000000002010315,43.5,21.1,7.0,97.0,5.0,2.0,0.56,1.0
5000110000000002010316,36.3,21.9,2.0,77.0,4.0,2.6,0.38,0.77
5000110000000002010317,37.0,25.3,2.0,92.0,4.0,2.2,0.33,0.8
5000110000000002010318,53.8,21.5,2.0,97.0,5.0,2.5,0.47,1.0
5000110000000002010319,37.2,22.8,2.0,82.0,5.0,2.4,0.48,0.78
5000110000000002010401,42.5,24.2,2.0,92.0,6.0,3.2,0.37,0.78
5000110000000002010402,42.2,22.2,2.0,82.0,6.0,3.4,0.29,0.47
5000110000000002010404,37.5,17.5,7.0,77.0,5.0,3.0,0.41,0.65
5000110000000002010406,37.8,21.1,2.0,82.0,5.0,2.0,0.5,1.0
5000110000000002010407,33.7,20.8,2.0,77.0,6.0,3.0,0.57,0.86
5000110000000002010410,33.8,20.8,2.0,67.0,5.0,2.3,0.17,1.0
5000110000000002010411,46.8,21.8,2.0,87.0,4.0,3.0,0.62,0.69
5000110000000002010412,47.2,19.9,7.0,82.0,6.0,3.0,0.35,0.81
5000110000000002010414,47.0,17.8,17.0,72.0,6.0,3.0,0.3,0.7
5000110000000002010416,35.5,23.2,2.0,87.0,5.0,2.1,0.44,1.0
5000110000000002010417,26.8,15.8,2.0,47.0,4.0,1.8,0.33,0.89
5000110000000002010502,46.2,21.7,2.0,77.0,3.0,2.4,0.36,0.79
5000110000000002010504,57.7,20.3,7.0,77.0,5.0,3.0,0.58,0.67
5000110000000002010505,32.0,11.0,17.0,47.0,7.0,2.5,0.75,1.0
5000110000000002010511,29.0,19.6,2.0,72.0,4.0,3.3,0.25,0.75
5000110000000002010512,37.2,19.8,2.0,77.0,5.0,3.0,0.52,0.77
5000110000000002010513,28.4,21.8,2.0,77.0,4.0,3.2,0.83,1.0
5000110000000002010522,41.2,22.7,2.0,92.0,4.0,2.7,0.63,0.88
5000110000000002010604,46.2,22.8,7.0,77.0,2.0,1.2,0.3,1.0
5000110000000002010608,41.9,21.2,2.0,92.0,4.0,1.4,0.33,0.86
5000110000000002010611,37.3,22.9,2.0,87.0,3.0,1.7,0.19,0.81
5000110000000002010612,35.3,22.6,2.0,97.0,3.0,1.1,0.17,0.86
5000110000000002010614,36.8,27.5,2.0,82.0,3.0,1.1,0.09,0.73
